Calories,Water,Carbohydrate,Protein,Fat,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Selenium,Zinc,Potassium,Sodium,Vitamin A,Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B6,Folate,Vitamin C,Vitamin E,Vitamin K,Choline
23.0,91.4,3.63,2.86,0.39,99.0,0.13,2.71,79.0,0.897,49.0,1.0,0.53,558.0,79.0,469.0,0.078,0.189,0.724,0.065,0.195,194.0,28.1,2.03,482.9,19.3
83.0,82.31,1.18,9.98,5.26,282.0,0.2,2.04,35.0,0.666,111.0,13.0,1.07,130.0,4.0,0.0,0.048,0.048,0.241,0.844,0.083,9.0,0.0,0.01,2.8,33.0
371.0,9.9,74.67,13.04,1.51,21.0,0.289,1.3,53.0,0.917,189.0,63.2,1.41,223.0,6.0,0.0,0.09,0.06,1.7,0.431,0.142,18.0,0.0,0.11,0.1,0.0
34.0,90.15,8.16,0.84,0.19,9.0,0.041,0.21,12.0,0.041,15.0,0.4,0.18,267.0,16.0,169.0,0.041,0.019,0.734,0.105,0.072,21.0,36.7,0.05,2.5,7.6
368.0,13.28,64.16,14.12,6.07,47.0,0.59,4.57,197.0,2.033,457.0,8.5,3.1,563.0,5.0,1.0,0.36,0.318,1.52,0.772,0.487,184.0,0.0,2.44,0.0,70.2
376.0,8.56,77.43,12.76,0.64,24.0,0.247,1.08,44.0,0.78,170.0,0.0,0.83,166.0,10.0,0.0,0.163,0.078,3.49,1.243,0.11,20.0,0.0,0.0,0.0,0.0
486.0,5.8,42.12,16.54,30.74,631.0,0.924,7.72,335.0,2.723,860.0,55.2,4.58,407.0,16.0,0.0,0.62,0.17,8.83,0.0,0.0,49.0,1.6,0.5,0.0,0.0
559.0,5.23,10.71,30.23,49.05,46.0,1.343,8.82,592.0,4.543,1233.0,9.4,7.81,809.0,7.0,1.0,0.273,0.153,4.987,0.75,0.143,58.0,1.9,2.18,7.3,63.0
378.0,7.68,62.95,20.47,6.04,57.0,0.656,4.31,79.0,21.306,252.0,0.0,2.76,718.0,24.0,3.0,0.477,0.212,1.541,1.588,0.535,557.0,4.0,0.82,9.0,99.3
341.0,11.02,62.36,21.6,1.42,123.0,0.841,5.02,171.0,1.06,352.0,3.2,3.65,1483.0,5.0,0.0,0.9,0.193,1.955,0.899,0.286,444.0,0.0,0.21,5.6,66.4
