id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
1303448,167765,2000,6.2,6,1.0,5.74,6.59,,,
1303449,167765,1087,7.0,42,1.0,4.0,14.0,,,
1303450,167765,1095,0.1,45,1.0,0.04,0.63,,,
1303451,167765,1103,0.4,2,1.0,0.0,0.7,,,
1303452,167765,1109,0.05,8,1.0,0.02,0.07,,,
1303453,167765,1051,91.45,14,1.0,90.1,92.42,,,
1303454,167765,1018,0.0,0,,,,,,
1303455,167765,1004,0.15,10,1.0,0.05,0.27,,,
1303456,167765,1005,7.55,0,49.0,,,,,
1303457,167765,1008,30.0,0,49.0,,,,,
1303458,167765,1010,1.21,6,1.0,0.11,2.87,,,
1303459,167765,1011,1.58,8,1.0,0.67,2.13,,,
1303460,167765,1014,0.06,8,1.0,0.0,0.14,,,
1303461,167765,1099,1.5,11,1.0,1.0,2.1,,,
1303462,167765,1180,4.1,0,,,,,,
1303463,167765,1190,3.0,0,49.0,,,,,
1303464,167765,1198,0.3,1,1.0,,,,,
1303465,167765,1259,0.0,0,,,,,,
1303466,167765,1260,0.0,0,,,,,,
1303467,167765,1262,0.001,0,,,,,,
1303468,167765,1265,0.008,0,,,,,,
1303469,167765,1266,0.006,0,,,,,,
1303470,167765,1268,0.037000000000000005,0,,,,,,
1303471,167765,1269,0.05,0,,,,,,
1303472,167765,1270,0.0,0,,,,,,
1303473,167765,1271,0.0,0,,,,,,
1303474,167765,1276,0.0,0,,,,,,
1303475,167765,1277,0.0,0,,,,,,
1303476,167765,1279,0.0,0,,,,,,
1303477,167765,1292,0.037000000000000005,0,49.0,,,,,
1303478,167765,1293,0.05,0,49.0,,,,,
1303479,167765,1258,0.016,0,49.0,,,,,
1303480,167765,1261,0.0,0,,,,,,
1303481,167765,1263,0.001,0,,,,,,
1303482,167765,1264,0.0,0,,,,,,
1303483,167765,1272,0.0,0,,,,,,
1303484,167765,1275,0.0,0,,,,,,
1303485,167765,1278,0.0,0,,,,,,
1303486,167765,1280,0.0,0,,,,,,
1303487,167765,1062,127.0,0,49.0,,,,,
1303488,167765,1012,3.36,8,1.0,2.72,4.0,,,
1303489,167765,1013,0.0,8,1.0,0.0,0.0,,,
1303490,167765,1187,3.0,3,1.0,2.0,3.0,,,
1303491,167765,1075,0.0,7,1.0,0.0,0.0,,,
1303492,167765,1092,112.0,44,1.0,58.0,191.0,,,
1303493,167765,1093,1.0,40,1.0,0.0,5.0,,,
1303494,167765,1105,0.0,0,68.0,,,,,
1303495,167765,1257,0.0,0,68.0,,,,,
1303496,167765,1210,0.0069999999999999,1,,,,,,
1303497,167765,1211,0.027000000000000003,1,,,,,,
1303498,167765,1215,0.006,1,,,,,,
1303499,167765,1217,0.015,1,,,,,,
1303500,167765,1218,0.012,1,,,,,,
1303501,167765,1222,0.017,1,,,,,,
1303502,167765,1224,0.063,1,,,,,,
1303503,167765,1225,0.01,1,,,,,,
